Age,AnnualIncome,CreditScore,EmploymentStatus,Experience,LoanAmount,LoanDuration,HomeOwnershipStatus,CreditUtilization,DebtToIncome,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,MonthlyIncome,UtilityPaymentScore,JobTenure,NetWorth,InterestRate,LoanApproved,NewLoanApproved,RiskScore
32,62472,584,Employed,10,27263,48,Rent,25%,32%,0,Home,0,22,16,2530,5206,59.56,4,45846,25.33,0,Rejected,54
33,16805,460,Self-Employed,12,26509,72,Mortgage,24%,19%,0,Other,0,23,12,659,1400.42,78.3,2,55455,35.6,0,Rejected,53
46,65865,559,Employed,21,34952,36,Own,40%,51%,0,Home,1,27,25,5472,5488.75,80.93,4,40243,25.67,0,Rejected,65
52,113311,616,Employed,26,42583,24,Mortgage,21%,1%,0,Debt Consolidation,0,32,29,2124,9442.58,69.45,2,18467,20.77,1,Approved,37
35,22497,552,Employed,15,17105,12,Mortgage,43%,11%,0,Education,0,32,14,1761,1874.75,90.64,6,1838,22.18,0,Rejected,53
50,80867,562,Employed,30,12170,48,Rent,32%,3%,0,Home,0,22,4,1738,6738.92,94.37,7,51794,27.14,0,Rejected,50
41,52063,548,Self-Employed,18,13959,48,Mortgage,81%,19%,0,Debt Consolidation,0,24,17,648,4338.58,88.48,4,10353,25.67,0,Rejected,56
38,29214,518,Employed,14,40533,60,Mortgage,6%,43%,0,Education,1,17,16,4104,2434.5,69.86,4,535111,31.36,0,Rejected,55
37,28487,596,Unemployed,17,15122,60,Own,11%,6%,0,Home,0,21,13,2046,2373.92,91.81,5,214451,19.4,0,Rejected,50
48,53078,608,Employed,25,25669,72,Mortgage,28%,9%,0,Home,0,24,27,532,4423.17,80.1,5,46906,24.78,0,Rejected,47
43,66290,499,Employed,22,22902,24,Other,2%,30%,0,Auto,0,26,14,2591,5524.17,91.49,5,180148,26.32,0,Rejected,49
67,51825,642,Employed,43,17672,48,Mortgage,17%,8%,0,Debt Consolidation,0,18,8,1001,4318.75,74.88,4,265834,20.26,0,Rejected,41
29,32326,625,Employed,8,16273,60,Mortgage,34%,11%,0,Home,0,16,20,1329,2693.83,89.82,8,228104,25.05,0,Rejected,44
46,81349,587,Employed,22,17188,36,Rent,20%,22%,0,Home,1,25,1,8618,6779.08,87.53,9,21096,22.13,0,Rejected,60
33,92536,544,Employed,11,10272,60,Rent,16%,44%,0,Other,0,25,27,3391,7711.33,81.92,4,11780,25.14,1,Approved,43
29,77688,560,Employed,8,26328,96,Mortgage,24%,39%,0,Debt Consolidation,0,29,21,1744,6474,68.24,5,66618,27.05,0,Rejected,52
39,127120,499,Employed,16,10899,60,Other,47%,57%,0,Debt Consolidation,0,31,23,2138,10593.33,64.47,6,46269,27.15,1,Approved,46
41,38766,579,Employed,22,34860,72,Rent,28%,51%,0,Education,0,20,5,5916,3230.5,64.45,6,191533,24.56,0,Rejected,57
75,35540,702,Self-Employed,54,25602,48,Rent,15%,16%,0,Education,0,22,18,4386,2961.67,70.88,5,20615,15.58,0,Rejected,44
37,57657,582,Employed,14,32743,48,Rent,18%,28%,0,Debt Consolidation,0,25,15,5100,4804.75,94.04,7,4984,23.57,0,Rejected,51
26,31513,613,Self-Employed,7,32806,84,Mortgage,45%,12%,1,Other,0,25,18,2511,2626.08,72.25,11,156990,24.79,0,Rejected,60
43,104827,621,Employed,25,28727,72,Mortgage,24%,27%,0,Home,0,20,2,936,8735.58,75.64,3,119261,22.91,1,Approved,38
18,20286,574,Employed,0,12087,36,Mortgage,21%,10%,0,Debt Consolidation,0,22,6,9994,1690.5,77.1,6,204728,22.35,0,Rejected,50
38,25423,616,Employed,13,22917,108,Other,8%,42%,0,Auto,0,27,8,3265,2118.58,78.12,3,7470,30.53,0,Rejected,55
40,54549,554,Employed,18,11861,48,Rent,9%,59%,0,Education,0,26,22,3859,4545.75,82.49,6,53960,24.93,1,Approved,44
49,53558,571,Employed,28,37045,48,Mortgage,83%,49%,0,Auto,0,24,16,1902,4463.17,48.34,4,5735,23.64,0,Rejected,59
51,71627,619,Employed,27,31771,60,Mortgage,25%,27%,0,Debt Consolidation,0,19,25,783,5968.92,90.51,6,9255,27.27,0,Rejected,49
33,32907,555,Self-Employed,11,55951,12,Mortgage,4%,48%,0,Education,0,29,15,2694,2742.25,59.81,6,32215,23.51,0,Rejected,59
38,17782,535,Employed,15,45996,84,Mortgage,33%,12%,0,Auto,0,24,28,7759,1481.83,71.61,4,10384,29.96,0,Rejected,52
30,300000,471,Self-Employed,7,35784,108,Mortgage,18%,22%,0,Other,0,22,1,4644,25000,80.64,10,31703,37.98,1,Approved,45
26,51543,584,Employed,4,18711,72,Mortgage,61%,27%,0,Home,1,25,15,6811,4295.25,93.53,4,49556,22.29,0,Rejected,60
43,300000,595,Employed,20,38312,48,Rent,26%,6%,0,Education,1,25,25,1159,25000,73.09,3,80232,28.3,1,Approved,42
24,35651,532,Employed,0,20847,48,Mortgage,13%,21%,0,Auto,1,29,18,1083,2970.92,84.1,1,10855,23.06,0,Rejected,58
35,26907,544,Employed,13,24143,60,Other,26%,49%,0,Other,0,30,8,641,2242.25,90.58,6,27308,28.32,0,Rejected,59
28,33997,501,Employed,6,38922,12,Mortgage,39%,28%,1,Debt Consolidation,0,30,15,1820,2833.08,90.08,0,9611,28.3,0,Rejected,65
46,109413,494,Employed,24,35272,24,Mortgage,18%,12%,0,Home,1,24,28,1286,9117.75,90.38,5,3759,25.89,1,Approved,43
61,78689,611,Employed,43,19391,60,Mortgage,5%,18%,0,Home,0,29,8,5325,6557.42,63.07,6,8115,21.28,1,Approved,38
24,46583,586,Employed,1,32952,48,Rent,4%,21%,0,Home,0,23,25,2813,3881.92,60.17,3,111895,20.75,0,Rejected,48
18,38534,574,Unemployed,0,7449,24,Mortgage,31%,9%,0,Debt Consolidation,1,25,6,4813,3211.17,75.36,7,5064,19.05,0,Rejected,62
38,58869,650,Self-Employed,14,24034,48,Own,31%,36%,0,Auto,0,21,24,44154,4905.75,62.3,9,6106,20.56,0,Rejected,51
40,52831,653,Employed,18,9823,36,Mortgage,22%,44%,0,Other,0,24,24,270,4402.58,72.47,5,43271,18.65,1,Approved,40
42,92641,629,Employed,19,10875,72,Mortgage,21%,9%,0,Home,0,32,16,5027,7720.08,75.88,1,8296,21.43,1,Approved,37
34,75914,543,Employed,10,18127,24,Own,61%,46%,0,Home,0,26,10,533,6326.17,92.07,4,1598,21.07,1,Approved,46
37,32409,525,Employed,16,26975,24,Own,32%,35%,0,Education,0,23,3,3914,2700.75,76.03,4,166440,25.94,0,Rejected,54
44,21676,614,Employed,21,26019,12,Mortgage,28%,50%,0,Auto,0,30,5,3636,1806.33,84.78,6,20248,18.65,0,Rejected,59
52,24581,611,Self-Employed,29,23404,48,Mortgage,31%,24%,0,Auto,0,25,22,16322,2048.42,85.92,6,9253,22.91,0,Rejected,54
18,33583,591,Employed,0,36456,96,Other,40%,53%,0,Debt Consolidation,0,27,15,2384,2798.58,87.09,5,2540,32.4,0,Rejected,59
35,46564,480,Employed,14,11005,36,Rent,36%,16%,0,Debt Consolidation,0,39,4,5044,3880.33,86.06,7,240315,26.28,0,Rejected,50
42,46652,565,Employed,18,14756,36,Rent,40%,9%,0,Auto,0,21,26,2311,3887.67,94.4,5,38962,23.18,0,Rejected,51
28,61330,606,Employed,4,9679,48,Rent,13%,28%,0,Auto,0,22,2,822,5110.83,79.93,5,65407,19.34,0,Rejected,50
60,58862,565,Employed,37,65953,36,Mortgage,7%,36%,0,Auto,0,23,3,3445,4905.17,72.68,5,12593,24.19,0,Rejected,56
32,162138,641,Employed,12,6286,84,Own,49%,10%,0,Other,1,18,15,2004,13511.5,94.75,7,45196,18.4,1,Approved,42
39,84057,560,Employed,18,16549,36,Rent,22%,13%,0,Home,0,27,19,8416,7004.75,63.77,7,22981,25.22,1,Approved,39
46,42759,589,Employed,24,38531,48,Rent,12%,48%,0,Auto,0,17,29,6544,3563.25,51.71,7,35259,28.1,0,Rejected,56
32,19053,598,Employed,8,26821,48,Own,20%,3%,0,Auto,0,35,6,1890,1587.75,82.09,4,5444,23.82,0,Rejected,54
18,30782,421,Employed,0,18185,12,Rent,35%,12%,0,Home,0,32,2,4447,2565.17,84.3,7,103530,22.96,0,Rejected,51
34,68885,564,Employed,13,24158,48,Rent,23%,37%,0,Education,0,29,22,1982,5740.42,57.03,6,10754,23.18,1,Approved,43
52,34239,634,Self-Employed,30,12739,120,Own,57%,34%,0,Home,0,28,14,7379,2853.25,84.09,7,30078,22.61,0,Rejected,56
35,20840,387,Unemployed,13,22584,108,Mortgage,8%,38%,0,Auto,0,29,20,1501,1736.67,61.45,5,8501,30.94,0,Rejected,58
29,88849,603,Employed,9,22607,72,Mortgage,24%,44%,0,Debt Consolidation,0,19,7,6701,7404.08,99.17,5,293802,23.61,1,Approved,38
51,35846,606,Employed,29,21151,24,Mortgage,34%,28%,0,Auto,0,23,8,4006,2987.17,97.2,5,76616,20.6,0,Rejected,49
36,63437,544,Employed,14,36923,96,Other,61%,35%,0,Home,0,24,24,5737,5286.42,72.03,6,17181,33.65,0,Rejected,56
33,42811,554,Employed,13,32240,96,Own,12%,29%,0,Debt Consolidation,0,18,3,5947,3567.58,91.99,4,93444,27.81,0,Rejected,53
41,53610,589,Self-Employed,19,15150,48,Rent,26%,35%,0,Education,0,27,13,5701,4467.5,78.35,7,12202,20.78,0,Rejected,57
49,29269,557,Employed,28,18010,60,Rent,12%,40%,0,Auto,0,19,21,3048,2439.08,83.46,1,18000,25.16,0,Rejected,57
68,49615,583,Employed,45,26949,12,Own,15%,43%,1,Other,0,26,24,22790,4134.58,79.73,1,65660,24.05,0,Rejected,66
49,26531,630,Employed,28,45650,60,Rent,28%,21%,1,Home,0,20,13,2039,2210.92,74.01,5,3558,22.55,0,Rejected,63
53,55097,588,Self-Employed,30,16623,60,Mortgage,23%,48%,0,Debt Consolidation,0,21,17,1186,4591.42,81.03,2,70609,21.58,0,Rejected,57
33,61358,566,Employed,12,18682,24,Mortgage,41%,23%,0,Home,0,22,18,1329,5113.17,56.1,6,191667,20.14,1,Approved,39
27,102697,516,Employed,6,14204,60,Mortgage,41%,29%,0,Debt Consolidation,0,28,6,1900,8558.08,73.89,8,41851,20.9,1,Approved,43
40,115171,523,Employed,17,27895,72,Own,16%,45%,0,Auto,0,25,26,3723,9597.58,84.17,5,3830,27.55,1,Approved,43
41,43617,547,Unemployed,18,13375,72,Other,37%,15%,0,Debt Consolidation,0,30,28,4702,3634.75,87.97,2,6046,26.77,0,Rejected,54
27,34953,561,Employed,5,13261,36,Rent,25%,58%,0,Home,0,26,13,1957,2912.75,73.48,6,67198,22.38,0,Rejected,57
37,102361,625,Employed,15,12197,24,Mortgage,13%,52%,0,Home,0,23,14,1159,8530.08,52.89,5,46421,19.29,1,Approved,42
44,68767,622,Employed,24,26383,24,Rent,40%,12%,0,Other,0,24,29,2144,5730.58,59.7,5,8071,17.06,1,Approved,38
44,129487,600,Employed,19,26953,24,Mortgage,16%,42%,0,Debt Consolidation,0,21,17,8437,10790.58,85.92,4,4603,23.04,1,Approved,40
46,223250,660,Employed,22,67594,108,Other,16%,25%,0,Auto,1,24,2,3725,18604.17,99.4,7,146916,29.08,0,Rejected,49
43,33601,633,Employed,19,21981,48,Own,30%,30%,0,Home,0,33,17,1666,2800.08,86.12,4,1902,16.45,0,Rejected,52
33,77685,430,Employed,14,19286,36,Other,47%,40%,0,Debt Consolidation,0,29,8,1440,6473.75,80.99,5,289044,26.37,1,Approved,42
33,46325,619,Unemployed,12,19174,60,Mortgage,32%,25%,0,Debt Consolidation,0,24,18,2918,3860.42,76.99,1,4568,24.52,0,Rejected,53
25,115519,552,Employed,3,43843,24,Mortgage,12%,40%,0,Home,0,29,26,1892,9626.58,85.36,4,9945,23.11,1,Approved,43
61,26234,614,Employed,42,24077,12,Mortgage,39%,9%,0,Debt Consolidation,0,18,23,4073,2186.17,64.38,6,5205,15.82,0,Rejected,49
40,66188,610,Employed,16,16772,48,Mortgage,31%,21%,0,Debt Consolidation,0,21,17,6749,5515.67,69.34,4,103283,19.17,1,Approved,36
37,34413,564,Unemployed,12,40294,84,Own,45%,8%,0,Home,0,32,13,11818,2867.75,87.35,6,54921,27.82,0,Rejected,53
28,67691,501,Self-Employed,1,8035,48,Rent,12%,8%,0,Home,0,29,24,4393,5640.92,76.07,4,3118,27.26,1,Approved,42
75,167544,642,Employed,55,27508,48,Mortgage,14%,16%,0,Home,0,28,6,967,13962,78.89,4,192713,20.56,1,Approved,34
27,30165,515,Employed,4,13988,36,Mortgage,13%,21%,0,Other,0,29,29,1378,2513.75,75.57,5,112049,25.77,0,Rejected,48
34,21151,546,Employed,9,27513,84,Own,46%,11%,0,Auto,0,24,23,869,1762.58,86.03,7,26274,31.88,0,Rejected,53
44,43806,586,Unemployed,22,16080,48,Mortgage,12%,36%,0,Home,0,14,23,1618,3650.5,90.57,6,12479,21.99,0,Rejected,57
47,47911,613,Unemployed,26,13397,120,Other,31%,34%,0,Other,0,17,14,979,3992.58,79.27,8,42441,25.6,0,Rejected,55
51,23100,591,Employed,32,31194,36,Own,33%,68%,0,Education,0,20,16,780,1925,91.14,7,33899,25.09,0,Rejected,60
61,18405,643,Employed,36,8419,120,Mortgage,33%,24%,0,Home,0,26,5,1705,1533.75,91.21,4,143840,25.13,0,Rejected,49
46,98056,534,Employed,24,20695,48,Mortgage,70%,28%,0,Education,0,25,21,424,8171.33,70.16,6,5114,21.03,1,Approved,42
27,102757,597,Employed,6,14552,120,Mortgage,22%,14%,0,Other,0,20,22,2819,8563.08,48.54,7,5674,28.24,0,Rejected,49
36,27528,564,Employed,13,15342,60,Own,23%,19%,0,Home,0,22,21,11583,2294,69.02,7,72177,24.26,0,Rejected,50
43,47685,632,Employed,20,14286,48,Rent,46%,32%,0,Home,0,14,20,4595,3973.75,66.55,5,5062,19.35,0,Rejected,53
64,71869,590,Employed,41,22862,36,Rent,46%,38%,1,Home,0,16,12,14401,5989.08,59.96,9,209131,21.07,0,Rejected,63
23,72631,573,Employed,1,16047,36,Mortgage,55%,4%,0,Debt Consolidation,0,18,4,1797,6052.58,86.82,3,9568,17.89,1,Approved,43
54,181787,670,Employed,28,9142,48,Rent,41%,14%,0,Debt Consolidation,0,28,12,2004,15148.92,80.84,5,170787,20.3,1,Approved,31
42,90250,583,Employed,20,21955,12,Other,44%,35%,0,Education,0,19,15,11564,7520.83,78.84,3,8740,19.12,1,Approved,43
50,27316,475,Employed,24,13926,36,Own,24%,15%,0,Debt Consolidation,0,22,9,2452,2276.33,85.28,3,194239,30.15,0,Rejected,49
38,86485,558,Employed,14,32437,84,Mortgage,39%,30%,1,Auto,0,17,27,6487,7207.08,84.99,3,237850,24.12,0,Rejected,61
29,38762,635,Self-Employed,6,27377,48,Mortgage,15%,38%,0,Home,0,20,23,6921,3230.17,87.55,5,153688,21.66,0,Rejected,50
49,46206,607,Employed,27,34367,36,Rent,17%,9%,0,Home,0,20,29,3074,3850.5,86.98,3,18890,24.01,0,Rejected,47
47,81349,609,Employed,23,22364,108,Own,43%,47%,0,Auto,0,25,7,1024,6779.08,87.43,1,31809,27.82,0,Rejected,54
51,32645,484,Unemployed,28,38820,48,Rent,67%,33%,0,Auto,0,18,6,1377,2720.42,80.45,5,8505,30.2,0,Rejected,62
39,39481,496,Employed,18,48882,72,Mortgage,33%,34%,0,Debt Consolidation,0,23,23,3264,3290.08,71.35,3,21718,31.32,0,Rejected,55
32,19000,609,Employed,11,30351,72,Mortgage,30%,11%,0,Other,0,25,27,835,1583.33,88.01,5,2782,19.27,0,Rejected,49
21,46145,497,Self-Employed,0,34935,60,Rent,56%,11%,0,Education,0,16,11,65856,2213.42,79.83,2,42349,29.94,0,Rejected,55
49,32699,612,Employed,28,45836,60,Rent,44%,26%,0,Auto,0,26,19,8431,2724.92,52.07,4,105071,24.19,0,Rejected,47
45,136244,619,Employed,23,28292,24,Own,13%,17%,0,Home,0,24,6,2710,11353.67,62.59,4,79563,18.9,1,Approved,35
28,39412,471,Employed,3,25015,24,Mortgage,52%,48%,0,Debt Consolidation,0,12,1,2195,3284.33,72.95,5,43034,24.5,0,Rejected,62
33,219833,496,Employed,10,14884,24,Mortgage,31%,56%,0,Auto,1,20,1,2681,18319.42,74.6,2,20795,24.24,1,Approved,53
34,63872,602,Employed,13,19133,60,Mortgage,45%,27%,0,Home,0,19,24,3257,5322.67,79.85,5,2813,23.21,0,Rejected,50
22,79793,576,Employed,0,43194,36,Mortgage,10%,15%,0,Debt Consolidation,1,19,19,833,6649.42,80.52,3,27593,22.17,0,Rejected,55
30,16871,523,Employed,6,9797,84,Mortgage,13%,11%,0,Debt Consolidation,0,30,13,3071,1405.92,87.01,4,98128,32.21,0,Rejected,49
26,32959,509,Employed,1,29136,48,Mortgage,29%,8%,0,Home,1,27,12,1909,2746.58,70.32,7,61275,25.3,0,Rejected,55
35,33319,607,Employed,17,25882,48,Own,22%,41%,0,Auto,0,24,27,4518,2776.58,79.58,4,5173,19.8,0,Rejected,54
31,38968,545,Employed,8,14392,60,Mortgage,51%,31%,0,Home,1,24,10,4754,3247.33,94.26,4,7248,26.5,0,Rejected,62
20,25577,590,Self-Employed,0,87782,60,Mortgage,27%,40%,0,Auto,0,17,9,3695,2131.42,77.24,3,233260,30.63,0,Rejected,58
64,58156,674,Employed,38,29291,84,Own,15%,19%,0,Auto,1,22,2,3186,4846.33,90.32,5,311370,23.6,0,Rejected,47
55,87278,632,Employed,35,44498,48,Rent,11%,58%,0,Debt Consolidation,0,16,15,1759,7273.17,77.01,5,6204,22.79,0,Rejected,53
30,38000,601,Self-Employed,5,24824,36,Mortgage,38%,21%,0,Education,0,21,18,12910,3166.67,84.23,3,6460,19.19,0,Rejected,53
43,87897,560,Employed,17,53602,72,Rent,59%,59%,1,Home,0,30,16,6876,7324.75,91.91,4,4093,27.53,0,Rejected,70
45,27814,594,Unemployed,27,14400,60,Rent,25%,4%,1,Education,0,22,27,1704,2317.83,83.79,5,13468,18.62,0,Rejected,67
54,72239,652,Employed,31,17585,108,Mortgage,26%,33%,0,Debt Consolidation,0,23,24,2510,6019.92,72.18,4,48677,21.92,1,Approved,38
30,32710,594,Employed,6,19954,12,Other,25%,4%,0,Auto,0,26,1,3169,2725.83,85.19,4,1503,17.4,0,Rejected,55
53,115846,642,Self-Employed,31,10881,36,Own,23%,45%,0,Education,0,23,25,8461,5529.33,73.61,2,3342,16.89,1,Approved,44
33,68242,581,Unemployed,11,17253,96,Mortgage,38%,6%,1,Home,0,28,1,7685,5686.83,71.34,4,9381,25.03,0,Rejected,69
23,20521,601,Employed,0,14875,48,Own,30%,37%,0,Home,0,30,7,4886,1710.08,83.93,8,6129,18.31,0,Rejected,54
48,117762,579,Employed,27,25194,60,Rent,13%,31%,0,Education,1,21,16,2892,9813.5,75.56,7,6022,25.84,0,Rejected,58
55,65890,638,Employed,33,7893,60,Own,58%,62%,0,Home,0,27,25,9346,5490.83,82.99,3,81760,19.91,1,Approved,43
71,203884,620,Unemployed,47,29894,36,Mortgage,16%,19%,0,Debt Consolidation,0,22,24,1120,16990.33,89.82,7,36866,20.46,1,Approved,38
25,52656,568,Employed,0,37005,48,Own,22%,31%,0,Other,0,27,9,2737,4388,65.99,5,6046,21.06,0,Rejected,55
48,85684,475,Employed,24,9400,48,Mortgage,33%,22%,0,Debt Consolidation,0,25,18,376,7140.33,81.97,4,31483,24.93,1,Approved,41
35,52588,546,Employed,12,20969,24,Own,14%,28%,0,Other,0,32,29,3704,4382.33,93.29,2,206195,18.59,1,Approved,38
49,54847,571,Employed,28,19681,48,Own,33%,39%,0,Auto,0,18,10,1915,4570.58,74.13,6,16531,24.47,0,Rejected,54
22,43577,523,Employed,2,48078,12,Rent,37%,7%,1,Auto,0,25,27,1324,3631.42,78.93,4,11656,26.81,0,Rejected,63
24,42528,595,Employed,0,32793,48,Mortgage,13%,23%,0,Auto,0,13,19,2594,3544,91.25,5,66497,24.03,0,Rejected,50
30,55941,498,Employed,8,24012,60,Mortgage,45%,10%,0,Other,1,29,15,1321,2915.42,91.35,8,449222,28.63,0,Rejected,51
40,62723,636,Employed,15,21918,24,Rent,12%,47%,0,Auto,0,26,26,5882,5226.92,77.09,8,23328,16.49,1,Approved,42
32,78999,610,Employed,10,36609,36,Rent,8%,35%,0,Other,0,23,1,1396,6583.25,86.09,7,191276,19.47,1,Approved,40
47,63876,526,Employed,26,31599,48,Own,31%,40%,0,Auto,0,28,12,3538,5323,73.48,2,90617,24.04,0,Rejected,54
52,61916,526,Employed,29,26643,12,Mortgage,23%,9%,0,Debt Consolidation,0,24,1,6466,5159.67,91.42,4,55856,21.83,0,Rejected,52
47,21665,515,Self-Employed,25,47644,24,Mortgage,18%,24%,0,Other,0,21,4,5858,1805.42,88.79,10,332539,24.44,0,Rejected,53
59,104293,518,Employed,39,23012,60,Other,4%,63%,0,Debt Consolidation,0,19,20,4060,8691.08,84.16,7,28724,27.65,0,Rejected,56
44,34330,625,Employed,18,41989,60,Mortgage,20%,44%,0,Home,0,29,28,5439,2860.83,94.07,5,9665,22.06,0,Rejected,54
25,15000,457,Employed,4,29727,36,Other,28%,25%,0,Debt Consolidation,0,27,1,1443,1250,67.78,10,33667,30.46,0,Rejected,58
56,204649,631,Employed,32,15984,60,Other,1%,52%,0,Auto,1,28,23,6666,17054.08,50.31,5,17190,20.07,1,Approved,46
32,119823,536,Employed,8,14421,72,Rent,25%,11%,0,Auto,0,22,21,6456,9985.25,94.22,1,117522,26.13,1,Approved,36
50,62741,589,Unemployed,30,18844,36,Mortgage,41%,22%,0,Other,0,21,8,4215,5228.42,91.11,9,128400,19.12,0,Rejected,53
58,122026,607,Employed,38,23103,72,Other,36%,25%,0,Debt Consolidation,0,27,16,447,10168.83,95.68,4,6475,25.48,1,Approved,38
45,43309,534,Employed,23,15000,108,Own,39%,28%,0,Auto,0,23,11,1418,3609.08,78.89,4,9069,29.74,0,Rejected,53
22,22442,517,Employed,1,22979,60,Other,16%,46%,0,Auto,1,19,25,851,1870.17,69.66,5,10599,28.13,0,Rejected,63
28,28667,522,Self-Employed,2,8958,96,Mortgage,3%,22%,0,Auto,0,27,25,2606,2388.92,64.16,8,101998,27.06,0,Rejected,52
55,31047,534,Employed,33,10361,60,Own,2%,76%,1,Auto,0,22,14,8963,2587.25,85.23,3,7646,24.09,0,Rejected,70
37,30114,448,Employed,13,42369,48,Other,41%,25%,0,Auto,0,29,9,2865,2509.5,84.73,3,10234,34.19,0,Rejected,55
40,32646,535,Employed,16,19422,72,Other,12%,24%,0,Debt Consolidation,0,35,22,842,2720.5,77.2,6,10826,25.54,0,Rejected,52
49,15000,630,Employed,26,16857,48,Mortgage,13%,29%,0,Home,0,26,27,4183,1250,87.75,8,3323,21.46,0,Rejected,50
48,33411,599,Employed,25,40328,60,Mortgage,20%,21%,0,Home,0,22,29,2899,2784.25,86.91,7,56787,26.19,0,Rejected,51
43,32316,629,Employed,18,20905,60,Rent,11%,57%,0,Debt Consolidation,0,30,19,2416,2693,69.79,6,8699,23.53,0,Rejected,55
37,71664,639,Self-Employed,16,49205,36,Rent,40%,17%,0,Home,0,22,18,3616,5972,71.58,5,73741,24.38,0,Rejected,48
36,50384,590,Employed,10,10126,36,Own,67%,25%,0,Debt Consolidation,1,26,24,2278,4198.67,90.44,8,73089,23.35,0,Rejected,58
50,75775,604,Employed,30,42095,36,Mortgage,13%,40%,0,Auto,0,33,20,3867,6314.58,40.07,4,9512,23.91,0,Rejected,52
46,46983,555,Employed,22,36339,96,Mortgage,35%,23%,0,Auto,0,24,13,1550,3915.25,79.02,2,87317,24.82,0,Rejected,51
36,24220,600,Employed,16,40968,36,Mortgage,8%,11%,0,Education,0,20,9,1125,2018.33,76.31,6,32907,20.9,0,Rejected,49
52,20167,578,Employed,30,16448,12,Rent,46%,39%,0,Debt Consolidation,0,30,5,653,1680.58,72.79,5,643858,19.72,0,Rejected,51
38,27818,634,Employed,15,26465,48,Rent,48%,25%,1,Debt Consolidation,0,24,6,1150,2318.17,82.21,6,34801,19.5,0,Rejected,66
29,27429,579,Self-Employed,7,18485,96,Mortgage,11%,23%,0,Home,0,27,1,2085,2285.75,95.48,5,13828,29.19,0,Rejected,60
30,26853,563,Employed,8,43713,36,Rent,37%,24%,0,Debt Consolidation,0,18,9,6003,2237.75,89.56,4,10616,27.62,0,Rejected,55
28,68099,504,Employed,8,13656,36,Rent,38%,19%,0,Other,0,28,9,7014,5674.92,75.32,5,93883,23.21,1,Approved,39
36,45842,544,Employed,15,19331,48,Mortgage,23%,3%,0,Auto,0,28,20,1367,3820.17,90.46,9,1253,23.73,0,Rejected,51
54,22359,633,Employed,31,31543,36,Mortgage,55%,6%,0,Home,0,23,3,11574,1863.25,56.4,8,4111,23.53,0,Rejected,53
30,24152,557,Employed,7,20977,24,Own,28%,36%,0,Education,1,24,23,38056,2012.67,76.49,7,2066,20.99,0,Rejected,62
42,53644,576,Employed,21,45018,48,Mortgage,30%,4%,0,Debt Consolidation,0,13,27,1173,4470.33,59.16,7,74429,25.09,0,Rejected,48
32,23284,506,Employed,7,17033,60,Mortgage,13%,43%,0,Debt Consolidation,0,27,13,1780,1940.33,83.43,2,502133,26.49,0,Rejected,49
36,53918,551,Employed,16,22780,36,Mortgage,48%,10%,0,Home,0,23,9,1472,4493.17,83.86,5,28866,25.88,0,Rejected,52
21,19460,530,Employed,0,13606,96,Mortgage,29%,9%,0,Home,0,25,7,7294,1621.67,47.7,7,68363,26.72,0,Rejected,51
37,42789,540,Employed,16,26969,36,Mortgage,65%,50%,0,Other,0,21,21,523,3565.75,67.7,7,9670,20.25,0,Rejected,59
37,24853,574,Employed,13,22109,36,Own,9%,28%,0,Home,0,26,23,601,2071.08,86.08,7,105833,19.58,0,Rejected,49
46,67244,648,Employed,23,23683,72,Mortgage,5%,45%,0,Debt Consolidation,0,21,11,2511,5603.67,51.45,6,17870,20.24,0,Rejected,52
42,158264,575,Self-Employed,20,20639,36,Rent,4%,9%,0,Debt Consolidation,0,24,9,12642,13188.67,97.48,5,2826,25.78,1,Approved,41
25,59173,583,Employed,6,9425,72,Mortgage,29%,38%,0,Home,0,21,14,691,4931.08,74.99,6,10839,20.57,0,Rejected,54
53,22588,556,Employed,29,8534,60,Rent,32%,22%,0,Home,0,26,23,4385,1882.33,74.97,6,52393,24,0,Rejected,52
42,228457,630,Employed,20,13401,48,Own,22%,45%,0,Education,0,13,28,561,19038.08,72.87,6,3905,22.36,1,Approved,41
42,98459,634,Employed,19,15815,60,Rent,22%,30%,0,Education,0,22,26,1816,8204.92,73.2,8,77400,23.75,1,Approved,37
39,30120,631,Employed,18,18988,120,Mortgage,43%,55%,0,Auto,0,17,11,3000,2510,73.43,6,21130,26.27,0,Rejected,57
33,53107,517,Employed,12,21423,48,Mortgage,32%,52%,0,Debt Consolidation,0,11,20,1369,2293.92,79.18,4,68095,22.38,0,Rejected,56
42,67004,603,Employed,17,21706,72,Mortgage,41%,29%,0,Auto,0,18,14,1528,5583.67,76.98,6,54051,21.05,1,Approved,38
45,73202,526,Employed,26,21774,36,Mortgage,28%,13%,0,Home,0,24,4,1516,6100.17,78.22,4,4077,23.45,0,Rejected,53
19,118776,550,Employed,0,12656,120,Own,12%,39%,0,Home,1,21,21,4425,9898,86.51,8,66880,23.41,1,Approved,45
33,72550,601,Employed,8,73398,60,Rent,33%,33%,0,Home,0,18,28,7956,6045.83,90.44,3,3031,26.63,0,Rejected,51
36,36315,518,Employed,12,28731,48,Rent,34%,11%,0,Home,0,29,28,10796,3026.25,81.09,9,98538,22.05,0,Rejected,49
